#ID,RA,DEC,RA_err,Dec_err
402.000000,53.277234,-28.151320,5.428870,5.428870
406.000000,53.125413,-26.947016,16.754959,16.754959
437.000000,52.735708,-27.320485,4.205065,4.205065
438.000000,52.072814,-27.175013,7.863191,7.863191
439.000000,52.938240,-27.910807,4.899478,4.899478
440.000000,52.054233,-27.135838,4.634898,4.634898
442.000000,52.345427,-27.672501,8.404224,8.404224
445.000000,52.418883,-27.862586,4.559761,4.559761
448.000000,52.068558,-27.471394,5.604072,5.604072
455.000000,53.128173,-28.135574,4.545204,4.545204
459.000000,53.026160,-27.543871,5.907998,5.907998
461.000000,52.917947,-27.495414,8.352974,8.352974
466.000000,53.199705,-28.147917,4.792448,4.792448
467.000000,52.837799,-27.152425,5.153837,5.153837
479.000000,52.033677,-27.764553,5.336796,5.336796
496.000000,53.071376,-27.331116,5.057159,5.057159
501.000000,52.141448,-28.009405,6.683558,6.683558
513.000000,53.070060,-27.403535,4.294557,4.294557
519.000000,53.145288,-27.499314,5.433587,5.433587
527.000000,52.082258,-28.131678,14.015989,14.015989
542.000000,52.198740,-28.385885,6.699902,6.699902
551.000000,52.354588,-27.179743,6.029083,6.029083
564.000000,53.023753,-27.635317,7.736092,7.736092
579.000000,52.892967,-27.180764,5.093728,5.093728
597.000000,52.133308,-28.081771,5.375859,5.375859
598.000000,52.246983,-27.111955,6.702281,6.702281
602.000000,52.340737,-26.969703,5.791251,5.791251
606.000000,52.343585,-27.575548,6.380522,6.380522
607.000000,52.901078,-28.030059,5.674757,5.674757
608.000000,52.805442,-28.317848,5.972020,5.972020
609.000000,52.611361,-27.178331,5.397554,5.397554
613.000000,52.728182,-27.440325,5.651217,5.651217
616.000000,52.060049,-27.025590,4.897459,4.897459
617.000000,52.887737,-27.514274,4.770288,4.770288
618.000000,52.365234,-27.796572,5.327399,5.327399
620.000000,52.713499,-27.214537,5.003437,5.003437
621.000000,52.432613,-28.043403,5.237360,5.237360
622.000000,52.281273,-27.693854,6.101786,6.101786
623.000000,52.037448,-27.357572,5.116733,5.116733
626.000000,53.162159,-28.447853,5.225004,5.225004
639.000000,53.291841,-28.464519,4.646590,4.646590
646.000000,52.319159,-27.089245,5.608717,5.608717
655.000000,52.007130,-27.640358,5.682215,5.682215
656.000000,53.037773,-27.513657,5.488885,5.488885
662.000000,52.476019,-27.289719,7.602169,7.602169
675.000000,52.404555,-28.398771,4.571640,4.571640
769.000000,52.313987,-27.543169,5.531710,5.531710
770.000000,52.390176,-27.678427,5.921381,5.921381
771.000000,52.489221,-27.803379,7.757996,7.757996
785.000000,53.013902,-27.475493,13.263259,13.263259
791.000000,53.272771,-27.011534,4.635003,4.635003
793.000000,53.279615,-27.371342,9.714174,9.714174
803.000000,52.330156,-28.490871,5.369285,5.369285
842.000000,52.374660,-27.365951,5.305444,5.305444
845.000000,52.189805,-27.186975,6.214372,6.214372
847.000000,52.753838,-27.856280,5.638622,5.638622
853.000000,52.604425,-27.231258,5.115222,5.115222
856.000000,52.869510,-28.173186,7.049244,7.049244
858.000000,52.864295,-28.082349,5.831440,5.831440
871.000000,52.916295,-28.329620,6.817886,6.817886
873.000000,52.725054,-28.377059,5.767586,5.767586
878.000000,52.748599,-27.436078,7.691627,7.691627
881.000000,52.968971,-28.304636,6.243443,6.243443
883.000000,52.942309,-28.191406,4.758286,4.758286
886.000000,52.962805,-27.962482,5.848788,5.848788
895.000000,52.901589,-27.577940,5.570537,5.570537
901.000000,52.009516,-27.132368,5.675890,5.675890
906.000000,52.544478,-28.338446,4.939690,4.939690
924.000000,52.641023,-27.457785,5.525954,5.525954
972.000000,52.744983,-28.491063,7.128724,7.128724
973.000000,52.347189,-28.309941,6.513549,6.513549
977.000000,53.298312,-28.196774,5.691450,5.691450
1005.000000,52.830239,-27.406057,5.540045,5.540045
1008.000000,52.013769,-27.238761,6.874095,6.874095
1040.000000,52.293844,-27.812610,8.663393,8.663393
1073.000000,53.113206,-27.595591,21.454233,21.454233
1084.000000,52.842406,-27.231553,5.638084,5.638084
1138.000000,52.334753,-27.243826,6.335775,6.335775
1143.000000,52.432633,-27.698729,6.624864,6.624864
1157.000000,52.630143,-27.579606,5.922564,5.922564
1187.000000,52.668572,-27.702842,5.928802,5.928802
1188.000000,52.889113,-28.209224,6.494511,6.494511
1191.000000,52.213041,-27.521762,6.605377,6.605377
1192.000000,52.963578,-28.217763,5.904152,5.904152
1195.000000,52.482422,-28.157865,6.426800,6.426800
1222.000000,53.081578,-27.351089,7.241450,7.241450
1228.000000,52.845906,-27.017540,5.938735,5.938735
1250.000000,52.718611,-27.823571,6.272212,6.272212
51.000000,53.790121,-28.549468,2.125006,2.125006
78.000000,52.151856,-28.698625,2.495880,2.495880
89.000000,53.646865,-28.608517,4.069665,4.069665
136.000000,53.471993,-28.507105,3.598763,3.598763
196.000000,53.867049,-28.533553,6.904940,6.904940
197.000000,53.895710,-28.528716,8.425039,8.425039
229.000000,52.742780,-28.599968,4.461872,4.461872
261.000000,53.497379,-28.633952,9.917065,9.917065
296.000000,53.921786,-28.571223,3.982014,3.982014
352.000000,53.022719,-28.624566,4.570305,4.570305
359.000000,52.167808,-28.672697,11.138802,11.138802
460.000000,53.125374,-28.510869,5.317840,5.317840
461.000000,53.025865,-28.531496,4.846898,4.846898
462.000000,53.246830,-28.582346,4.108357,4.108357
472.000000,52.691164,-28.698211,4.583025,4.583025
499.000000,52.371074,-28.557036,4.260308,4.260308
650.000000,53.137274,-28.674938,5.271724,5.271724
689.000000,53.813285,-28.551982,4.630954,4.630954
772.000000,52.159898,-28.504348,8.800541,8.800541
854.000000,52.923725,-28.688899,7.350752,7.350752
917.000000,53.176041,-28.651232,5.111554,5.111554
929.000000,53.345582,-28.699125,5.587616,5.587616
950.000000,53.471122,-28.567984,6.371059,6.371059
1272.000000,52.342774,-28.510115,6.359100,6.359100
7.000000,53.382530,-27.154525,1.168648,1.168648
15.000000,53.847822,-28.123263,1.945701,1.945701
24.000000,53.457438,-28.379145,1.862592,1.862592
38.000000,53.554117,-28.416492,2.729359,2.729359
72.000000,53.853511,-28.336451,3.043970,3.043970
94.000000,53.352633,-27.430498,2.726153,2.726153
108.000000,53.914263,-27.528236,3.252937,3.252937
128.000000,53.748225,-27.499330,3.588350,3.588350
134.000000,53.779101,-27.881392,3.059631,3.059631
147.000000,53.648559,-28.470152,4.361269,4.361269
154.000000,53.656612,-27.973042,3.789328,3.789328
155.000000,53.661650,-27.987828,3.546105,3.546105
171.000000,53.693768,-27.613330,3.385367,3.385367
184.000000,53.963459,-28.169275,3.591906,3.591906
204.000000,53.882386,-27.306048,4.317903,4.317903
239.000000,53.862740,-27.188949,3.560863,3.560863
242.000000,53.549847,-27.340420,4.289312,4.289312
243.000000,53.547378,-27.320232,4.797165,4.797165
259.000000,53.394859,-28.294013,5.037741,5.037741
292.000000,53.615459,-26.919206,4.422491,4.422491
294.000000,53.406060,-27.479973,5.614050,5.614050
296.000000,53.530979,-27.007697,4.011447,4.011447
297.000000,53.810118,-26.948203,3.631947,3.631947
307.000000,53.781001,-27.191455,5.322673,5.322673
325.000000,53.974449,-27.845436,3.315166,3.315166
337.000000,53.901443,-27.719122,5.280170,5.280170
346.000000,53.515651,-27.941897,5.497638,5.497638
364.000000,53.673309,-27.016317,3.695853,3.695853
366.000000,53.408191,-27.446920,5.003337,5.003337
367.000000,53.593576,-27.714259,4.281695,4.281695
373.000000,53.372006,-27.944356,7.832945,7.832945
380.000000,53.761208,-27.891490,6.387093,6.387093
411.000000,53.943672,-27.434057,4.043549,4.043549
